"filename", "language", "JSON", "HTML", "TypeScript JSX", "TypeScript", "JSON with Comments", "CSS", "XML", "comment", "blank", "total"
"d:\Programming\Ton\My_projects\Jetton-webapp\index.html", "HTML", 0, 13, 0, 0, 0, 0, 0, 0, 1, 14
"d:\Programming\Ton\My_projects\Jetton-webapp\package-lock.json", "JSON", 5886, 0, 0, 0, 0, 0, 0, 0, 1, 5887
"d:\Programming\Ton\My_projects\Jetton-webapp\package.json", "JSON", 32, 0, 0, 0, 0, 0, 0, 0, 1, 33
"d:\Programming\Ton\My_projects\Jetton-webapp\public\vite.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"d:\Programming\Ton\My_projects\Jetton-webapp\src\App.css", "CSS", 0, 0, 0, 0, 0, 37, 0, 0, 6, 43
"d:\Programming\Ton\My_projects\Jetton-webapp\src\App.tsx", "TypeScript JSX", 0, 0, 38, 0, 0, 0, 0, 0, 7, 45
"d:\Programming\Ton\My_projects\Jetton-webapp\src\assets\react.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"d:\Programming\Ton\My_projects\Jetton-webapp\src\components\ModalNumber.tsx", "TypeScript JSX", 0, 0, 52, 0, 0, 0, 0, 0, 9, 61
"d:\Programming\Ton\My_projects\Jetton-webapp\src\components\ModalText.tsx", "TypeScript JSX", 0, 0, 51, 0, 0, 0, 0, 0, 9, 60
"d:\Programming\Ton\My_projects\Jetton-webapp\src\components\MyAlert.tsx", "TypeScript JSX", 0, 0, 21, 0, 0, 0, 0, 0, 4, 25
"d:\Programming\Ton\My_projects\Jetton-webapp\src\components\changeAddress\ChangeAddress.module.css", "CSS", 0, 0, 0, 0, 0, 11, 0, 1, 3, 15
"d:\Programming\Ton\My_projects\Jetton-webapp\src\components\changeAddress\ChangeAddress.tsx", "TypeScript JSX", 0, 0, 28, 0, 0, 0, 0, 0, 4, 32
"d:\Programming\Ton\My_projects\Jetton-webapp\src\components\jettonActions\JettonActions.module.css", "CSS", 0, 0, 0, 0, 0, 25, 0, 0, 4, 29
"d:\Programming\Ton\My_projects\Jetton-webapp\src\components\jettonActions\JettonActions.tsx", "TypeScript JSX", 0, 0, 98, 0, 0, 0, 0, 0, 16, 114
"d:\Programming\Ton\My_projects\Jetton-webapp\src\components\minter\Minter.module.css", "CSS", 0, 0, 0, 0, 0, 17, 0, 0, 3, 20
"d:\Programming\Ton\My_projects\Jetton-webapp\src\components\minter\Minter.tsx", "TypeScript JSX", 0, 0, 120, 0, 0, 0, 0, 0, 23, 143
"d:\Programming\Ton\My_projects\Jetton-webapp\src\components\royalty\Royalty.module.css", "CSS", 0, 0, 0, 0, 0, 18, 0, 0, 3, 21
"d:\Programming\Ton\My_projects\Jetton-webapp\src\components\royalty\Royalty.tsx", "TypeScript JSX", 0, 0, 28, 0, 0, 0, 0, 0, 5, 33
"d:\Programming\Ton\My_projects\Jetton-webapp\src\components\supply\Supply.module.css", "CSS", 0, 0, 0, 0, 0, 8, 0, 0, 1, 9
"d:\Programming\Ton\My_projects\Jetton-webapp\src\components\supply\Supply.tsx", "TypeScript JSX", 0, 0, 16, 0, 0, 0, 0, 0, 5, 21
"d:\Programming\Ton\My_projects\Jetton-webapp\src\components\wallet\Wallet.module.css", "CSS", 0, 0, 0, 0, 0, 20, 0, 0, 3, 23
"d:\Programming\Ton\My_projects\Jetton-webapp\src\components\wallet\Wallet.tsx", "TypeScript JSX", 0, 0, 70, 0, 0, 0, 0, 0, 15, 85
"d:\Programming\Ton\My_projects\Jetton-webapp\src\contracts\minter.ts", "TypeScript", 0, 0, 0, 81, 0, 0, 0, 0, 14, 95
"d:\Programming\Ton\My_projects\Jetton-webapp\src\contracts\wallet.ts", "TypeScript", 0, 0, 0, 39, 0, 0, 0, 0, 7, 46
"d:\Programming\Ton\My_projects\Jetton-webapp\src\hooks\useAsyncInitialize.ts", "TypeScript", 0, 0, 0, 10, 0, 0, 0, 0, 3, 13
"d:\Programming\Ton\My_projects\Jetton-webapp\src\hooks\useMinterContract.ts", "TypeScript", 0, 0, 0, 37, 0, 0, 0, 1, 7, 45
"d:\Programming\Ton\My_projects\Jetton-webapp\src\hooks\useTonClient.ts", "TypeScript", 0, 0, 0, 11, 0, 0, 0, 0, 2, 13
"d:\Programming\Ton\My_projects\Jetton-webapp\src\hooks\useTonConnect.ts", "TypeScript", 0, 0, 0, 22, 0, 0, 0, 0, 3, 25
"d:\Programming\Ton\My_projects\Jetton-webapp\src\index.css", "CSS", 0, 0, 0, 0, 0, 17, 0, 0, 4, 21
"d:\Programming\Ton\My_projects\Jetton-webapp\src\main.tsx", "TypeScript JSX", 0, 0, 11, 0, 0, 0, 0, 1, 3, 15
"d:\Programming\Ton\My_projects\Jetton-webapp\src\vite-env.d.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"d:\Programming\Ton\My_projects\Jetton-webapp\tsconfig.json", "JSON with Comments", 0, 0, 0, 0, 21, 0, 0, 0, 1, 22
"d:\Programming\Ton\My_projects\Jetton-webapp\tsconfig.node.json", "JSON", 9, 0, 0, 0, 0, 0, 0, 0, 1, 10
"d:\Programming\Ton\My_projects\Jetton-webapp\vite.config.ts", "TypeScript", 0, 0, 0, 7, 0, 0, 0, 1, 2, 10
"Total", "-", 5927, 13, 533, 207, 21, 153, 2, 5, 171, 7032
